"filename", "language", "XML", "Swift", "C++", "JSON", "HTML", "Dart", "Markdown", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\admin\cubit\cart_state.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 8, 21
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\views\cart_view.dart", "Dart", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\views\order_review.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\views\widgets\cart_item_cart_view.dart", "Dart", 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 7, 7, 228
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\views\widgets\cart_view_body.dart", "Dart", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 8, 77
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\cart\presintation\views\widgets\cart_view_bottom.dart", "Dart", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 1, 4, 85
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\address_view.dart", "Dart", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\checkout_done_view.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 3, 72
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\order_tracking_view.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 3, 21
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\payment_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 18
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\review_order_view.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 3, 25
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\shipping_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 3, 24
"c:\Users\USER\VS_CodeProjects_Flutter\flutter My application\abu_hashem_fashion\lib\features\checkout\presentation\views\widgets\body\address_view_body.dart", "Dart", 0, 0, 0, 0, 0, 205, 0, 0, 0, 0, 29, 23, 257
